Country,Code,Product,Amount
AZERBAIJAN,AZE,A1 - TEA,1
IRAN,IRN,A1 - TEA,99
KAZAKHSTAN,KAZ,A1 - TEA,14
KYRGHYZSTAN,KGZ,A1 - TEA,1
NIGER,NER,A1 - TEA,3
RUSSIA,RUS,A1 - TEA,75
TAJIKISTAN,TJK,A1 - TEA,1
ALBANIA,ALB,A2 - COFFEE,3
ARMENIA,ARM,A2 - COFFEE,1
BENIN,BEN,A2 - COFFEE,7
CROATIA,HRV,A2 - COFFEE,7
JORDAN,JOR,A2 - COFFEE,45
KIRIBATI REP,KIR,A2 - COFFEE,0
LATVIA,LVA,A2 - COFFEE,3
LIBYA,LBY,A2 - COFFEE,19
MAURITANIA,MRT,A2 - COFFEE,6
MONTENEGRO,MNE,A2 - COFFEE,3
NIGER,NER,A2 - COFFEE,1
SYRIA,SYR,A2 - COFFEE,10
TUNISIA,TUN,A2 - COFFEE,13
UKRAINE,UKR,A2 - COFFEE,15
AZERBAIJAN,AZE,A3 - RICE -BASMOTI,4
BAHARAIN IS,BHR,A3 - RICE -BASMOTI,28
BRUNEI,BRN,A3 - RICE -BASMOTI,1
C AFRI REP,CAF,A3 - RICE -BASMOTI,0
COMOROS,COM,A3 - RICE -BASMOTI,3
GUADELOUPE,GLP,A3 - RICE -BASMOTI,0
IRAN,IRN,A3 - RICE -BASMOTI,716
IRAQ,IRQ,A3 - RICE -BASMOTI,349
JORDAN,JOR,A3 - RICE -BASMOTI,51
KUWAIT,KWT,A3 - RICE -BASMOTI,114
MAURITANIA,MRT,A3 - RICE -BASMOTI,4
MAURITIUS,MUS,A3 - RICE -BASMOTI,23
OMAN,OMN,A3 - RICE -BASMOTI,67
QATAR,QAT,A3 - RICE -BASMOTI,57
REUNION,REU,A3 - RICE -BASMOTI,10
SAUDI ARAB,SAU,A3 - RICE -BASMOTI,547
SEYCHELLES,SYC,A3 - RICE -BASMOTI,4
SYRIA,SYR,A3 - RICE -BASMOTI,7
YEMEN REPUBLC,YEM,A3 - RICE -BASMOTI,149
ALGERIA,DZA,A4 - RICE(OTHER THAN BASMOTI),34
ANGOLA,AGO,A4 - RICE(OTHER THAN BASMOTI),94
BANGLADESH PR,BGD,A4 - RICE(OTHER THAN BASMOTI),610
BELARUS,BLR,A4 - RICE(OTHER THAN BASMOTI),9
BENIN,BEN,A4 - RICE(OTHER THAN BASMOTI),460
BRUNEI,BRN,A4 - RICE(OTHER THAN BASMOTI),1
BURKINA FASO,BFA,A4 - RICE(OTHER THAN BASMOTI),18
C AFRI REP,CAF,A4 - RICE(OTHER THAN BASMOTI),0
CAMEROON,CMR,A4 - RICE(OTHER THAN BASMOTI),154
CAPE VERDE IS,CPV,A4 - RICE(OTHER THAN BASMOTI),2
CONGO D. REP.,COG,A4 - RICE(OTHER THAN BASMOTI),24
CONGO P REP,COD,A4 - RICE(OTHER THAN BASMOTI),26
COTE D' IVOIRE,CIV,A4 - RICE(OTHER THAN BASMOTI),311
