Year,Country,Code,Export,Import
2021,Afghanistan,AFG,501,473
2020,Afghanistan,AFG,826,509
2019,Afghanistan,AFG,998,530
2018,Afghanistan,AFG,715,435
2017,Afghanistan,AFG,710,434
2021,Albania,ALB,51,30
2020,Albania,ALB,47,8
2019,Albania,ALB,44,48
2018,Albania,ALB,37,23
2017,Albania,ALB,29,39
2021,Algeria,DZA,636,973
2020,Algeria,DZA,595,409
2019,Algeria,DZA,611,1997
2018,Algeria,DZA,940,1697
2017,Algeria,DZA,823,1261
2021,Andorra,AND,0,0
2020,Andorra,AND,0,0
2019,Andorra,AND,0,0
2018,Andorra,AND,0,0
2017,Andorra,AND,5,0
2021,Angola,AGO,417,2197
2020,Angola,AGO,260,1880
2019,Angola,AGO,285,3649
2018,Angola,AGO,282,4027
2017,Angola,AGO,235,4324
2021,Anguilla,AIA,0,0
2020,Anguilla,AIA,0,0
2019,Anguilla,AIA,0,0
2018,Anguilla,AIA,0,0
2017,Anguilla,AIA,1,0
2021,Antarctica,ATA,0,1
2020,Antarctica,ATA,1,1
2019,Antarctica,ATA,0,0
2018,Antarctica,ATA,0,0
2017,Antarctica,ATA,0,0
2021,Antigua and Barbuda,ATG,2,0
2020,Antigua and Barbuda,ATG,2,0
2019,Antigua and Barbuda,ATG,2,0
2018,Antigua and Barbuda,ATG,3,0
2017,Antigua and Barbuda,ATG,2,0
2021,Argentina,ARG,1246,4025
2020,Argentina,ARG,688,2627
2019,Argentina,ARG,763,2327
2018,Argentina,ARG,563,1955
2017,Argentina,ARG,709,2229
2021,Armenia,ARM,26,121
2020,Armenia,ARM,70,96
2019,Armenia,ARM,40,2
2018,Armenia,ARM,26,1
2017,Armenia,ARM,33,1
2021,Aruba,ABW,5,2
2020,Aruba,ABW,3,1
2019,Aruba,ABW,10,0
2018,Aruba,ABW,10,1
2017,Aruba,ABW,6,0
2021,Australia,AUS,7472,15175
2020,Australia,AUS,4045,8248
2019,Australia,AUS,2853,9782
2018,Australia,AUS,3522,13131
2017,Australia,AUS,4012,13994
2021,Austria,AUT,515,746
2020,Austria,AUT,453,623
2019,Austria,AUT,456,630
2018,Austria,AUT,483,716
2017,Austria,AUT,460,973
2021,Azerbaijan,AZE,32,105
2020,Azerbaijan,AZE,51,229
2019,Azerbaijan,AZE,53,274
2018,Azerbaijan,AZE,43,148
2017,Azerbaijan,AZE,34,593
2021,Bahamas,BHS,7,3
2020,Bahamas,BHS,5,36
2019,Bahamas,BHS,60,15
2018,Bahamas,BHS,6,39
2017,Bahamas,BHS,8,40
2021,Bahrain,BHR,832,662
2020,Bahrain,BHR,528,547
2019,Bahrain,BHR,559,422
2018,Bahrain,BHR,742,540
2017,Bahrain,BHR,557,431
2021,Bangladesh,BGD,14593,1801
2020,Bangladesh,BGD,9692,1092
2019,Bangladesh,BGD,8201,1265
2018,Bangladesh,BGD,9210,1045
2017,Bangladesh,BGD,8615,686
2021,Barbados,BRB,15,1
2020,Barbados,BRB,11,1
2019,Barbados,BRB,13,1
2018,Barbados,BRB,12,2
2017,Barbados,BRB,13,0
2021,Belarus,BLR,64,380
2020,Belarus,BLR,62,288
2019,Belarus,BLR,56,147
2018,Belarus,BLR,56,227
2017,Belarus,BLR,48,208
2021,Belgium,BEL,8813,9020
2020,Belgium,BEL,5236,6941
2019,Belgium,BEL,5810,8879
2018,Belgium,BEL,6730,10469
2017,Belgium,BEL,6207,5993
2021,Belize,BLZ,13,0
2020,Belize,BLZ,9,0
2019,Belize,BLZ,14,1
2018,Belize,BLZ,17,1
2017,Belize,BLZ,13,1
2021,Benin,BEN,622,371
2020,Benin,BEN,555,326
2019,Benin,BEN,327,359
2018,Benin,BEN,427,376
2017,Benin,BEN,480,223
2021,Bermuda,BMU,5,0
2020,Bermuda,BMU,5,0
2019,Bermuda,BMU,2,0
2018,Bermuda,BMU,3,8
2017,Bermuda,BMU,3,0
2021,Bhutan,BTN,796,510
2020,Bhutan,BTN,701,433
2019,Bhutan,BTN,739,406
2018,Bhutan,BTN,657,371
2017,Bhutan,BTN,546,378
2021,Bolivia,BOL,110,1976
2020,Bolivia,BOL,94,1159
2019,Bolivia,BOL,113,846
2018,Bolivia,BOL,105,852
2017,Bolivia,BOL,105,667
2021,Bosnia and Herzegovina,BIH,15,3
2020,Bosnia and Herzegovina,BIH,15,2
2019,Bosnia and Herzegovina,BIH,15,3
2018,Bosnia and Herzegovina,BIH,17,2
2017,Bosnia and Herzegovina,BIH,15,9
2021,Botswana,BWA,253,483
2020,Botswana,BWA,173,462
2019,Botswana,BWA,179,744
2018,Botswana,BWA,178,974
2017,Botswana,BWA,109,1638
2021,Brazil,BRA,5882,5233
2020,Brazil,BRA,4245,3016
2019,Brazil,BRA,3967,3075
2018,Brazil,BRA,3800,4406
2017,Brazil,BRA,3063,5498
2021,British Virgin Islands,VGB,0,15
2020,British Virgin Islands,VGB,0,11
2019,British Virgin Islands,VGB,0,9
2018,British Virgin Islands,VGB,11,17
2017,British Virgin Islands,VGB,1,1
2021,Brunei,BRN,39,379
2020,Brunei,BRN,63,329
2019,Brunei,BRN,58,586
2018,Brunei,BRN,56,591
2017,Brunei,BRN,63,435
2021,Bulgaria,BGR,229,145
2020,Bulgaria,BGR,170,125
2019,Bulgaria,BGR,159,144
2018,Bulgaria,BGR,212,126
2017,Bulgaria,BGR,173,142
2021,Burkina Faso,BFA,182,412
2020,Burkina Faso,BFA,208,360
2019,Burkina Faso,BFA,154,543
2018,Burkina Faso,BFA,181,881
2017,Burkina Faso,BFA,148,633
2021,Burundi,BDI,56,0
2020,Burundi,BDI,64,0
2019,Burundi,BDI,58,4
2018,Burundi,BDI,48,5
2017,Burundi,BDI,38,17
2021,Cabo Verde,CPV,6,4
2020,Cabo Verde,CPV,3,2
2019,Cabo Verde,CPV,2,2
2018,Cabo Verde,CPV,2,3
2017,Cabo Verde,CPV,1,3
2021,Cambodia,KHM,175,82
2020,Cambodia,KHM,169,39
2019,Cambodia,KHM,188,47
2018,Cambodia,KHM,196,43
2017,Cambodia,KHM,121,56
2021,Cameroon,CMR,368,543
2020,Cameroon,CMR,279,202
2019,Cameroon,CMR,228,676
2018,Cameroon,CMR,178,343
2017,Cameroon,CMR,194,213
2021,Canada,CAN,3372,2858
2020,Canada,CAN,2961,2686
2019,Canada,CAN,2852,3880
2018,Canada,CAN,2851,3515
2017,Canada,CAN,2506,4729
2021,Cayman Islands,CYM,6,0
2020,Cayman Islands,CYM,4,86
2019,Cayman Islands,CYM,7,1
2018,Cayman Islands,CYM,4,0
2017,Cayman Islands,CYM,4,6
2021,Central African Republic,CAF,18,0
2020,Central African Republic,CAF,24,0
2019,Central African Republic,CAF,56,1
2018,Central African Republic,CAF,27,2
2017,Central African Republic,CAF,30,10
2021,Chad,TCD,49,3
2020,Chad,TCD,59,50
2019,Chad,TCD,59,271
2018,Chad,TCD,37,476
2017,Chad,TCD,27,149
2021,Chile,CHL,1076,1282
2020,Chile,CHL,805,671
2019,Chile,CHL,793,1176
2018,Chile,CHL,990,1238
2017,Chile,CHL,764,2092
2021,China,CHN,19807,85144
2020,China,CHN,21189,65212
2019,China,CHN,16614,65261
2018,China,CHN,16753,70320
2017,China,CHN,13334,76381
2021,Colombia,COL,1231,2867
2020,Colombia,COL,865,1404
2019,Colombia,COL,1043,811
2018,Colombia,COL,1117,1055
2017,Colombia,COL,939,593
2021,Comoros,COM,20,14
2020,Comoros,COM,18,12
2019,Comoros,COM,19,20
2018,Comoros,COM,19,35
2017,Comoros,COM,30,37
2021,Congo,COG,143,911
2020,Congo,COG,110,246
2019,Congo,COG,113,588
2018,Congo,COG,133,406
2017,Congo,COG,117,199
2021,Cook Islands,COK,0,0
2020,Cook Islands,COK,0,0
2019,Cook Islands,COK,0,0
2018,Cook Islands,COK,0,0
2017,Cook Islands,COK,0,0
2021,Costa Rica,CRI,134,59
2020,Costa Rica,CRI,114,47
2019,Costa Rica,CRI,127,49
2018,Costa Rica,CRI,136,51
2017,Costa Rica,CRI,134,67
2021,Croatia,HRV,439,57
2020,Croatia,HRV,143,43
2019,Croatia,HRV,148,57
2018,Croatia,HRV,154,39
2017,Croatia,HRV,169,32
2021,Cuba,CUB,26,1
2020,Cuba,CUB,20,69
2019,Cuba,CUB,48,4
2018,Cuba,CUB,35,4
2017,Cuba,CUB,42,2
2021,Cyprus,CYP,102,70
2020,Cyprus,CYP,90,24
2019,Cyprus,CYP,443,74
2018,Cyprus,CYP,71,394
2017,Cyprus,CYP,100,13
2021,Czechia,CZE,557,543
2020,Czechia,CZE,485,393
2019,Czechia,CZE,496,299
2018,Czechia,CZE,429,259
2017,Czechia,CZE,405,670
2021,Democratic Republic of Congo,COD,517,22
2020,Democratic Republic of Congo,COD,430,10
2019,Democratic Republic of Congo,COD,353,32
2018,Democratic Republic of Congo,COD,303,19
2017,Democratic Republic of Congo,COD,225,225
2021,Denmark,DNK,841,696
2020,Denmark,DNK,755,589
2019,Denmark,DNK,734,632
2018,Denmark,DNK,747,537
2017,Denmark,DNK,784,565
2021,Djibouti,DJI,661,39
2020,Djibouti,DJI,347,20
2019,Djibouti,DJI,316,20
2018,Djibouti,DJI,791,16
2017,Djibouti,DJI,376,5
2021,Dominica,DMA,3,0
2020,Dominica,DMA,2,0
2019,Dominica,DMA,2,0
2018,Dominica,DMA,1,0
2017,Dominica,DMA,2,0
2021,Dominican Republic,DOM,287,610
2020,Dominican Republic,DOM,209,257
2019,Dominican Republic,DOM,213,361
2018,Dominican Republic,DOM,216,567
2017,Dominican Republic,DOM,197,646
2021,Ecuador,ECU,278,898
2020,Ecuador,ECU,208,333
2019,Ecuador,ECU,253,362
2018,Ecuador,ECU,298,219
2017,Ecuador,ECU,280,194
2021,Egypt,EGY,3383,3224
2020,Egypt,EGY,2265,1892
2019,Egypt,EGY,2504,2031
2018,Egypt,EGY,2887,1678
2017,Egypt,EGY,2392,1293
2021,El Salvador,SLV,148,4
2020,El Salvador,SLV,84,4
2019,El Salvador,SLV,79,3
2018,El Salvador,SLV,79,4
2017,El Salvador,SLV,69,9
2021,Equatorial Guinea,GNQ,12,904
2020,Equatorial Guinea,GNQ,14,287
2019,Equatorial Guinea,GNQ,11,973
2018,Equatorial Guinea,GNQ,12,634
2017,Equatorial Guinea,GNQ,11,756
2021,Eritrea,ERI,9,0
2020,Eritrea,ERI,9,0
2019,Eritrea,ERI,6,0
2018,Eritrea,ERI,9,0
2017,Eritrea,ERI,7,2
2021,Estonia,EST,56,67
