Country,Code,Product,Rank,Amount
AFGHANISTAN,AFG,C4 - SUGAR,1,126
AFGHANISTAN,AFG,Q8 - RMG MANMADE FIBRES,2,62
AFGHANISTAN,AFG,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,53
AFGHANISTAN,AFG,"Q3 - MANMADE YARN,FABRICS,MADEUPS",4,49
AFGHANISTAN,AFG,A9 - TOBACCO MANUFACTURED,5,23
AFGHANISTAN,AFG,B1 - SPICES,6,23
AFGHANISTAN,AFG,S1 - HANDCRFS(EXCL.HANDMADE CRPTS),7,20
AFGHANISTAN,AFG,Q9 - RMG WOOL,8,16
AFGHANISTAN,AFG,I8 - AUTO TYRES AND TUBES,9,12
AFGHANISTAN,AFG,C7 - FRESH FRUITS,10,12
ALBANIA,ALB,J5 - CERAMICS AND ALLIED PRODUCTS,1,17
ALBANIA,ALB,"F3 - GRANIT, NATRL STONE AND PRODCT",2,8
ALBANIA,ALB,L3 - IRON AND STEEL,3,3
ALBANIA,ALB,A2 - COFFEE,4,3
ALBANIA,ALB,"J9 - PAPER, PAPER BOARD AND PRODUCT",5,2
ALBANIA,ALB,G3 - LEATHER FOOTWEAR COMPONENT,6,2
ALBANIA,ALB,N4 - ELECTRIC MACHINERY AND EQUIPME,7,2
ALBANIA,ALB,N6 - INDL. MACHNRY FOR DAIRY ETC,8,1
ALBANIA,ALB,"H8 - DRUG FORMULATIONS, BIOLOGICALS",9,1
ALBANIA,ALB,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,10,1
ALGERIA,DZA,"N8 - NUCLER REACTR, INDL BOILR, PRT",1,66
ALGERIA,DZA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",2,61
ALGERIA,DZA,K8 - PLASTIC RAW MATERIALS,3,61
ALGERIA,DZA,A4 - RICE(OTHER THAN BASMOTI),4,34
ALGERIA,DZA,N6 - INDL. MACHNRY FOR DAIRY ETC,5,25
ALGERIA,DZA,L3 - IRON AND STEEL,6,24
ALGERIA,DZA,"H5 - BULK DRUGS, DRUG INTERMEDIATES",7,23
ALGERIA,DZA,I7 - RESIDUL CHEMICL AND ALLED PROD,8,21
ALGERIA,DZA,M3 - AUTO COMPONENTS/PARTS,9,18
ALGERIA,DZA,"F3 - GRANIT, NATRL STONE AND PRODCT",10,18
ANGOLA,AGO,A4 - RICE(OTHER THAN BASMOTI),1,94
ANGOLA,AGO,"H8 - DRUG FORMULATIONS, BIOLOGICALS",2,67
ANGOLA,AGO,"O7 - SHIP, BOAT AND FLOATING STRUCT",3,39
ANGOLA,AGO,"K9 - PLASTC SHT, FILM, PLTS ETC",4,20
ANGOLA,AGO,D2 - CEREAL PREPARATIONS,5,17
ANGOLA,AGO,"J9 - PAPER, PAPER BOARD AND PRODUCT",6,13
ANGOLA,AGO,N6 - INDL. MACHNRY FOR DAIRY ETC,7,13
ANGOLA,AGO,K8 - PLASTIC RAW MATERIALS,8,12
ANGOLA,AGO,E6 - ALCOHOLIC BEVERAGES,9,11
ANGOLA,AGO,O5 - MOTOR VEHICLE/CARS,10,10
ANGUILLA,AIA,N6 - INDL. MACHNRY FOR DAIRY ETC,1,0
ANGUILLA,AIA,99 - OTHER COMMODITIES,2,0
ANGUILLA,AIA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,0
ANGUILLA,AIA,H1 - SPORTS GOODS,4,0
ANGUILLA,AIA,G2 - FOOTWEAR OF LEATHER,5,0
ANGUILLA,AIA,M8 - MEDICAL AND SCIENTIFIC INSTRUM,6,0
ANGUILLA,AIA,R9 - OTHER JUTE MANUFACTURES,7,0
ANGUILLA,AIA,F9 - LEATHER GOODS,8,0
ANGUILLA,AIA,I1 - SURGICALS,9,0
ANGUILLA,AIA,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,10,0
ANTIGUA,ATG,O5 - MOTOR VEHICLE/CARS,1,1
ANTIGUA,ATG,L3 - IRON AND STEEL,2,1
ANTIGUA,ATG,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,0
ANTIGUA,ATG,H1 - SPORTS GOODS,4,0
ANTIGUA,ATG,N9 - OTHER CONSTRUCTION MACHINERY,5,0
ANTIGUA,ATG,Q6 - RMG COTTON INCL ACCESSORIES,6,0
ANTIGUA,ATG,S6 - PETROLEUM PRODUCTS,7,0
ANTIGUA,ATG,Q8 - RMG MANMADE FIBRES,8,0
ANTIGUA,ATG,N6 - INDL. MACHNRY FOR DAIRY ETC,9,0
ANTIGUA,ATG,"Q3 - MANMADE YARN,FABRICS,MADEUPS",10,0
ARGENTINA,ARG,S6 - PETROLEUM PRODUCTS,1,436
ARGENTINA,ARG,H9 - AGRO CHEMICALS,2,107
ARGENTINA,ARG,L3 - IRON AND STEEL,3,88
ARGENTINA,ARG,"Q3 - MANMADE YARN,FABRICS,MADEUPS",4,77
ARGENTINA,ARG,O8 - TWO AND THREE WHEELERS,5,62
ARGENTINA,ARG,O5 - MOTOR VEHICLE/CARS,6,49
ARGENTINA,ARG,"H5 - BULK DRUGS, DRUG INTERMEDIATES",7,39
ARGENTINA,ARG,I7 - RESIDUL CHEMICL AND ALLED PROD,8,32
ARGENTINA,ARG,I3 - ORGANIC CHEMICALS,9,27
ARGENTINA,ARG,"H8 - DRUG FORMULATIONS, BIOLOGICALS",10,25
ARMENIA,ARM,"G5 - PEARL, PRECS, SEMIPRECS STONES",1,9
ARMENIA,ARM,A8 - TOBACCO UNMANUFACTURED,2,5
ARMENIA,ARM,D7 - BUFFALO MEAT,3,3
ARMENIA,ARM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",4,2
ARMENIA,ARM,N6 - INDL. MACHNRY FOR DAIRY ETC,5,1
ARMENIA,ARM,"F3 - GRANIT, NATRL STONE AND PRODCT",6,1
ARMENIA,ARM,N9 - OTHER CONSTRUCTION MACHINERY,7,1
ARMENIA,ARM,A2 - COFFEE,8,1
ARMENIA,ARM,J5 - CERAMICS AND ALLIED PRODUCTS,9,1
ARMENIA,ARM,"J9 - PAPER, PAPER BOARD AND PRODUCT",10,0
ARUBA,ABW,O5 - MOTOR VEHICLE/CARS,1,2
ARUBA,ABW,Q6 - RMG COTTON INCL ACCESSORIES,2,1
ARUBA,ABW,M8 - MEDICAL AND SCIENTIFIC INSTRUM,3,1
ARUBA,ABW,A9 - TOBACCO MANUFACTURED,4,0
ARUBA,ABW,E7 - MARINE PRODUCTS,5,0
ARUBA,ABW,Q8 - RMG MANMADE FIBRES,6,0
ARUBA,ABW,K7 - PACKAGING MATERIALS,7,0
ARUBA,ABW,G9 - GOLD AND OTH PRECS METL JWLERY,8,0
ARUBA,ABW,S2 - CARPET(EXCL. SILK) HANDMADE,9,0
ARUBA,ABW,N4 - ELECTRIC MACHINERY AND EQUIPME,10,0
AUSTRALIA,AUS,S6 - PETROLEUM PRODUCTS,1,4065
AUSTRALIA,AUS,"H8 - DRUG FORMULATIONS, BIOLOGICALS",2,320
AUSTRALIA,AUS,L4 - PRODUCTS OF IRON AND STEEL,3,186
AUSTRALIA,AUS,Q6 - RMG COTTON INCL ACCESSORIES,4,172
AUSTRALIA,AUS,"G5 - PEARL, PRECS, SEMIPRECS STONES",5,170
AUSTRALIA,AUS,G9 - GOLD AND OTH PRECS METL JWLERY,6,142
AUSTRALIA,AUS,"P8 - COTTON FABRICS, MADEUPS ETC.",7,122
AUSTRALIA,AUS,H9 - AGRO CHEMICALS,8,114
AUSTRALIA,AUS,N4 - ELECTRIC MACHINERY AND EQUIPME,9,112
AUSTRALIA,AUS,O5 - MOTOR VEHICLE/CARS,10,101
AUSTRIA,AUT,O8 - TWO AND THREE WHEELERS,1,74
AUSTRIA,AUT,P2 - ELECTRONICS COMPONENTS,2,61
AUSTRIA,AUT,N6 - INDL. MACHNRY FOR DAIRY ETC,3,38
AUSTRIA,AUT,N4 - ELECTRIC MACHINERY AND EQUIPME,4,38
AUSTRIA,AUT,"H8 - DRUG FORMULATIONS, BIOLOGICALS",5,21
AUSTRIA,AUT,G3 - LEATHER FOOTWEAR COMPONENT,6,19
AUSTRIA,AUT,M3 - AUTO COMPONENTS/PARTS,7,18
AUSTRIA,AUT,L4 - PRODUCTS OF IRON AND STEEL,8,17
AUSTRIA,AUT,Q6 - RMG COTTON INCL ACCESSORIES,9,14
AUSTRIA,AUT,I7 - RESIDUL CHEMICL AND ALLED PROD,10,13
AZERBAIJAN,AZE,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,7
AZERBAIJAN,AZE,A3 - RICE -BASMOTI,2,4
AZERBAIJAN,AZE,A9 - TOBACCO MANUFACTURED,3,2
AZERBAIJAN,AZE,P3 - ELECTRONICS INSTRUMENTS,4,2
AZERBAIJAN,AZE,"F3 - GRANIT, NATRL STONE AND PRODCT",5,2
AZERBAIJAN,AZE,"N7 - ATM, INJCTNG MLDING MCHNRY ETC",6,2
AZERBAIJAN,AZE,N6 - INDL. MACHNRY FOR DAIRY ETC,7,1
AZERBAIJAN,AZE,O3 - PUMPS OF ALL TYPES,8,1
AZERBAIJAN,AZE,D7 - BUFFALO MEAT,9,1
AZERBAIJAN,AZE,A1 - TEA,10,1
BAHAMAS,BHS,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,2
BAHAMAS,BHS,O5 - MOTOR VEHICLE/CARS,2,2
BAHAMAS,BHS,"P8 - COTTON FABRICS, MADEUPS ETC.",3,1
BAHAMAS,BHS,99 - OTHER COMMODITIES,4,1
BAHAMAS,BHS,M9 - OFFICE EQUIPMENTS,5,0
BAHAMAS,BHS,E7 - MARINE PRODUCTS,6,0
BAHAMAS,BHS,N9 - OTHER CONSTRUCTION MACHINERY,7,0
BAHAMAS,BHS,M8 - MEDICAL AND SCIENTIFIC INSTRUM,8,0
BAHAMAS,BHS,Q6 - RMG COTTON INCL ACCESSORIES,9,0
BAHAMAS,BHS,O8 - TWO AND THREE WHEELERS,10,0
BAHARAIN,BHR,S6 - PETROLEUM PRODUCTS,1,248
BAHARAIN,BHR,K8 - PLASTIC RAW MATERIALS,2,81
BAHARAIN,BHR,L3 - IRON AND STEEL,3,42
BAHARAIN,BHR,G9 - GOLD AND OTH PRECS METL JWLERY,4,37
BAHARAIN,BHR,A3 - RICE -BASMOTI,5,28
BAHARAIN,BHR,"N7 - ATM, INJCTNG MLDING MCHNRY ETC",6,26
BAHARAIN,BHR,L4 - PRODUCTS OF IRON AND STEEL,7,26
BAHARAIN,BHR,O5 - MOTOR VEHICLE/CARS,8,23
BAHARAIN,BHR,D7 - BUFFALO MEAT,9,22
BAHARAIN,BHR,E2 - DAIRY PRODUCTS,10,20
BANGLADESH,BGD,P7 - COTTON YARN,1,2085
BANGLADESH,BGD,S4 - COTTON RAW INCLD. WASTE,2,1492
BANGLADESH,BGD,A5 - WHEAT,3,1105
BANGLADESH,BGD,S6 - PETROLEUM PRODUCTS,4,1056
BANGLADESH,BGD,"P8 - COTTON FABRICS, MADEUPS ETC.",5,639
BANGLADESH,BGD,A4 - RICE(OTHER THAN BASMOTI),6,610
BANGLADESH,BGD,C4 - SUGAR,7,561
BANGLADESH,BGD,99 - OTHER COMMODITIES,8,538
BANGLADESH,BGD,L3 - IRON AND STEEL,9,430
BANGLADESH,BGD,A6 - OTHER CEREALS,10,394
BARBADOS,BRB,O5 - MOTOR VEHICLE/CARS,1,6
BARBADOS,BRB,L3 - IRON AND STEEL,2,4
BARBADOS,BRB,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,2
BARBADOS,BRB,"Q3 - MANMADE YARN,FABRICS,MADEUPS",4,0
BARBADOS,BRB,K7 - PACKAGING MATERIALS,5,0
BARBADOS,BRB,N9 - OTHER CONSTRUCTION MACHINERY,6,0
BARBADOS,BRB,L4 - PRODUCTS OF IRON AND STEEL,7,0
BARBADOS,BRB,M3 - AUTO COMPONENTS/PARTS,8,0
BARBADOS,BRB,B1 - SPICES,9,0
BARBADOS,BRB,E7 - MARINE PRODUCTS,10,0
BELARUS,BLR,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,21
BELARUS,BLR,E7 - MARINE PRODUCTS,2,11
BELARUS,BLR,A4 - RICE(OTHER THAN BASMOTI),3,9
BELARUS,BLR,"H5 - BULK DRUGS, DRUG INTERMEDIATES",4,3
BELARUS,BLR,I7 - RESIDUL CHEMICL AND ALLED PROD,5,3
BELARUS,BLR,A8 - TOBACCO UNMANUFACTURED,6,2
BELARUS,BLR,I4 - OTHER MISCELLAENIOUS CHEMICALS,7,2
BELARUS,BLR,K4 - OPTICAL ITEMS (INCL.LENS ETC),8,1
BELARUS,BLR,N6 - INDL. MACHNRY FOR DAIRY ETC,9,1
BELARUS,BLR,I3 - ORGANIC CHEMICALS,10,1
BELGIUM,BEL,"G5 - PEARL, PRECS, SEMIPRECS STONES",1,2345
BELGIUM,BEL,S6 - PETROLEUM PRODUCTS,2,1527
BELGIUM,BEL,L3 - IRON AND STEEL,3,1377
BELGIUM,BEL,I3 - ORGANIC CHEMICALS,4,524
BELGIUM,BEL,"H8 - DRUG FORMULATIONS, BIOLOGICALS",5,274
BELGIUM,BEL,L4 - PRODUCTS OF IRON AND STEEL,6,173
BELGIUM,BEL,I7 - RESIDUL CHEMICL AND ALLED PROD,7,168
BELGIUM,BEL,A8 - TOBACCO UNMANUFACTURED,8,148
BELGIUM,BEL,E7 - MARINE PRODUCTS,9,143
BELGIUM,BEL,"Q3 - MANMADE YARN,FABRICS,MADEUPS",10,118
BELIZE,BLZ,A9 - TOBACCO MANUFACTURED,1,6
BELIZE,BLZ,Q8 - RMG MANMADE FIBRES,2,2
BELIZE,BLZ,L3 - IRON AND STEEL,3,1
BELIZE,BLZ,Q6 - RMG COTTON INCL ACCESSORIES,4,1
BELIZE,BLZ,H9 - AGRO CHEMICALS,5,1
